date,wind,hydroeletric,nuclear,solar,thermal
2020-10-23,212.43657000000002,1009.0237270000001,44.657774,12.508471,359.104558
2020-10-24,177.963804,912.163572,44.635222,9.442112999999999,367.93143799999996
2020-10-25,164.15733300000005,803.8232700000001,44.543627,12.189167,342.79419400000006
2020-10-26,114.387123,1032.4874559999998,44.648339,13.011139999999996,365.39694999999995
2020-10-27,107.231272,1074.7894290000002,44.662263,12.059594000000002,372.62988199999995
2020-10-28,122.13051299999997,1096.5614669999998,44.647538,13.916216,375.930797
2020-10-29,172.47539399999997,1071.046794,44.682851,12.501812000000001,363.54040200000003
2020-10-30,176.54992800000002,1011.9134260000004,44.710808,9.978653999999999,348.7779190000001
2020-10-31,124.38410100000002,898.2098400000003,44.74224,10.448504,341.98061999999993
2020-11-01,96.62414999999997,802.5403719999999,44.787964,12.406939,305.191955
2020-11-02,91.49452400000001,825.433272,44.860451999999995,11.085402,318.0574520000001
2020-11-03,102.811011,968.2428120000002,44.877146,10.654546000000002,370.541729
2020-11-04,98.788879,997.7904640000002,44.900602,10.425922,369.57678300000003
2020-11-05,136.427341,975.3441130000002,44.873881,14.212231,373.2931319999999
2020-11-06,180.7455,979.5395229999999,44.849044,13.290522000000001,346.50002300000006
2020-11-07,213.86811600000004,895.5496360000001,44.833739,16.622380000000003,315.39192399999996
2020-11-08,216.249721,807.2855100000002,44.853113,14.036223999999997,291.61437499999994
2020-11-09,203.46153399999994,1010.6068560000002,44.861911,16.547589999999996,318.60353900000007
2020-11-10,204.701037,1010.5988310000004,44.885748,15.516945000000002,325.4789430000001
2020-11-11,193.33321899999999,1036.2089680000006,44.882433,15.567822,329.35307099999994
2020-11-12,174.13563700000003,1043.3591750000005,44.918182,16.102890000000002,345.43049400000007
2020-11-13,169.38287499999996,1056.2718770000008,44.8979,13.058741,343.9677519999999
2020-11-14,194.45314400000004,936.7502280000003,44.896671,14.626069000000001,322.294975
2020-11-15,169.58044399999994,838.9872910000001,44.827979,11.157643,315.06154699999996
2020-11-16,144.88907099999997,1054.1287580000003,44.677723,13.443829000000003,373.8167710000001
2020-11-17,120.15402400000004,1084.8217670000004,44.603565,12.899235,380.9942929999999
2020-11-18,117.98957300000001,1041.8770120000006,44.612316,11.227834,385.33102900000006
2020-11-19,115.99142099999997,1019.2036990000001,44.62293,9.090058,375.9775209999999
2020-11-20,73.138713,984.2539840000001,44.680672,12.375177,394.0019429999998
2020-11-21,102.84900800000001,917.208698,44.671194,12.021341000000003,368.29474300000004
2020-11-22,170.35645599999995,812.3783269999999,42.914569,13.462969,313.47739600000006
2020-11-23,205.60055300000005,976.6383830000002,44.645712,13.609701000000001,334.379595
2020-11-24,224.49654999999998,1028.07231,44.705531,13.691457000000002,343.52570899999995
2020-11-25,219.23315799999992,1121.4942339999998,44.670073,15.582275,310.20543
2020-11-26,212.19271699999996,1131.1285220000007,44.592762,13.140367999999997,297.74113400000005
2020-11-27,236.42200400000004,1083.799575,44.403925,13.958051,316.01616700000005
2020-11-28,259.22622900000005,935.419426,44.455431,15.334278999999995,319.81263800000005
2020-11-29,217.84622299999995,845.6947629999997,44.406357,15.435006999999999,313.88767
2020-11-30,192.25739800000002,1098.0896359999997,44.385215,16.04056,349.836346
2020-12-01,188.69994200000002,1110.2988920000005,44.420871,13.601123,361.690523
